,Código,Nome,Procedência,Qtd.,Un.,Custo,nome_peca
114,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,0.27,KG,1.55,"029964 - APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL"
115,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,0.21,KG,1.2,439990 - COMPL PORT ICAM EIXO SS (M98) F
116,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,6.71,KG,39.15,425187 - REFORÇO CENTRAL CBHM
117,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,38.9,KG,109.74,"031509 - LONGARINA - CHASSI SIMPLES SS - CBH 6,0 7M³ 01 EIXO"
118,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,4.34,KG,12.24,480230 - HASTE TRACAO MENOR-ICAM F4/6
119,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,2.9,KG,16.75,032440 - COMPLEMENTO DO FECHAM. LAT. TRAS. [CAÇAMBA SIMPLES - CBH M21]
120,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,6.41,KG,37.03,032439 - FECHAMENTO LATERAL TRASEIRO [CAÇAMBA SIMPLES - CBH M21]
121,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,1.01,KG,5.83,030451 - FECHAM LAT GRADE M17 - TAMPA LATERAL (M17) CBH
122,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.32,KG,1.85,033120 - FECHAMENTO LONGARINA [TANQUE SIMPLES - FTC]
123,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,9.99,KG,57.71,031204 - REFORÇO LATERAL DIANTEIRO - CAÇAMBA M18
124,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,2.46,KG,14.21,450790 - TRANSV N3 - PLATAF (6000) CBHM
125,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.68,KG,3.93,"031017 - FECHAMENTO LATERAL 45cm - ESTRUTURA GRADE TRASEIRA - S3,2/4,0MD"
126,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.72,KG,4.2,025845 - REF INFERIOR DO EIXO - CBHM 6000 2E (M14)
127,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,1.06,KG,6.18,409959 - SUPORTE DA COLUNA CBHM
128,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,0.39,KG,2.3,494495 - DOBRADIÇA TAMPA TRASEIRA CBH/CBHM
129,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,12.92,KG,75.38,031248 - BRACO ESTABILIZADOR(TUBO) - EIXO BAL TANDEM CBHM/CBH 4T
130,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,51.53,KG,300.63,030500 - LONGARINA - CBH M17 2 EIXOS
131,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,26.54,KG,147.89,493107 - CHAPEAM - GRADE LATERAL 45 CM CBHM
132,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,3.62,KG,21.12,028757 - REFORÇO DE ARTICULAÇÃO- CBHM
133,120549,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300,Nacional - 0,23.23,KG,133.22,031229 - CHAPEAM. FRONTAL FECHAM. DIANTEIRO SUPERIOR (M18) CBH
134,120352,"CHAPA GQ 1/2 (12,7) 1010",Nacional - 0,0.53,KG,3.03,425760 - SUPORTE DO CILINDRO CBHM
135,120352,"CHAPA GQ 1/2 (12,7) 1010",Nacional - 0,2.12,KG,12.14,030598 - REFORÇO LATERAL EXTERNO CBH (M17) ABERTURA LAT.
